frame,x,y
0,85,330
1,85,332
2,85,334
3,85,335
4,85,336
5,86,336
6,86,337
7,86,339
8,87,340
9,87,341
10,87,343
11,88,344
12,88,346
13,90,355
14,91,362
15,91,369
16,91,372
17,91,374
18,91,375
19,91,375
20,91,375
21,91,374
22,91,373
23,91,370
24,91,367
25,91,366
26,91,365
27,91,364
28,91,364
29,91,364
30,91,364
31,91,364
32,91,364
33,91,364
34,91,364
35,91,364
36,91,364
37,91,364
38,91,364
39,91,364
40,91,364
41,91,364
42,91,364
43,91,364
44,91,364
45,91,364
46,91,364
47,91,364
48,91,364
49,91,364
50,91,364
51,91,364
52,91,364
53,91,364
54,91,364
55,91,364
56,91,364
57,91,364
58,91,364
59,91,364
60,91,364
61,91,364
62,91,364
63,91,364
64,91,364
65,91,364
66,91,364
67,91,364
68,92,364
69,93,365
70,95,366
71,106,371
72,106,371
73,117,376
74,138,384
75,147,389
76,156,392
77,164,395
78,177,401
79,191,409
80,209,418
81,228,429
82,245,438
83,281,458
84,302,480
85,327,506
86,327,506
87,352,531
88,352,531
89,373,550
90,373,550
91,373,550
92,373,550
93,373,550
94,373,550
95,373,550
96,373,550
97,373,550
98,373,550
99,373,550
100,373,550
101,373,550
102,373,550
103,373,550
104,373,550
105,388,555
106,430,583
107,430,583
108,458,607
109,519,662
110,539,681
111,549,689
112,559,695
113,562,698
114,562,698
115,563,699
116,563,699
117,563,699
118,563,699
119,563,699
120,563,699
121,563,699
122,563,699
123,563,699
124,563,699
125,563,699
126,563,699
127,563,699
128,563,699
129,563,699
130,563,699
131,563,699
132,563,699
133,563,699
134,563,699
135,563,699
136,563,699
137,563,699
138,563,699
139,563,699
140,563,699
141,563,699
142,563,699
143,563,699
144,564,700
145,574,707
146,587,720
147,605,738
148,622,756
149,638,776
150,656,803
151,660,812
152,660,812
153,662,823
154,662,823
155,662,823
156,662,823
157,662,823
158,662,823
159,662,823
160,662,823
161,662,823
162,662,823
163,662,823
164,662,823
165,662,824
166,662,838
167,662,855
168,662,913
169,662,946
170,665,966
171,667,983
172,667,983
173,669,998
174,669,1002
175,669,1007
176,669,1011
177,669,1019
178,667,1030
179,665,1034
180,663,1036
181,660,1038
182,658,1040
183,652,1043
184,637,1050
185,637,1050
186,629,1053
187,627,1054
188,626,1054
189,625,1054
190,624,1054
191,622,1054
192,620,1054
193,620,1054
194,620,1054
195,620,1054
196,620,1054
197,620,1054
198,620,1054
199,620,1054
200,620,1054
201,620,1054
202,620,1054
203,620,1054
204,620,1054
205,620,1054
206,620,1054
207,620,1054
208,620,1054
209,620,1054
210,620,1054
211,620,1054
212,620,1054
213,620,1054
214,620,1054
215,620,1054
216,620,1054
217,620,1054
218,620,1054
219,620,1054
220,620,1054
221,620,1054
222,620,1053
223,645,1023
224,682,979
225,682,979
226,806,817
227,853,745
228,880,699
229,905,648
230,915,626
231,924,610
232,924,610
233,927,606
234,927,606
235,927,606
236,927,606
237,927,606
238,927,606
239,927,606
240,922,597
241,905,563
242,884,513
243,830,354
244,813,308
245,813,308
246,802,282
247,792,270
248,792,270
249,792,270
250,792,270
251,792,270
252,792,270
253,792,270
254,791,270
255,780,262
256,770,256
257,742,240
258,721,230
259,721,230
260,689,214
261,678,207
262,678,207
263,651,194
264,643,191
265,637,190
266,634,189
267,632,188
268,631,188
269,630,187
270,630,187
271,629,187
272,629,187
273,629,187
274,629,187
275,628,187
276,628,187
277,628,187
278,628,187
279,628,187
280,628,187
281,628,187
282,636,198
283,636,198
284,637,200
285,637,200
286,637,200
287,637,200
288,638,200
289,638,200
290,638,200
291,638,200
292,638,200
293,638,200
294,638,200
295,638,200
296,638,200
297,638,200
298,638,200
299,638,200
300,638,200
301,638,200
302,643,209
303,656,226
304,680,262
305,680,262
306,680,262
307,680,262
308,680,262
309,680,262
310,680,262
311,774,401
312,774,401
313,774,401
314,774,401
315,774,401
316,774,401
317,774,401
318,774,401
319,774,401
320,774,401
321,774,401
322,774,401
323,774,401
324,774,401
325,774,401
326,774,401
327,774,401
328,774,401
329,774,401
330,774,401
331,774,401
332,774,401
333,774,401
334,774,401
335,774,401
336,774,401
337,774,401
338,774,401
339,774,401
340,774,401
341,774,401
342,774,401
343,774,401
344,774,401
345,774,401
346,774,401
347,774,401
348,774,401
349,774,401
350,774,401
351,774,401
352,774,401
353,774,401
354,774,401
355,774,401
356,774,401
357,774,401
358,774,401
359,774,401
360,774,401
361,774,401
362,774,401
363,774,401
364,774,401
365,774,401
366,774,401
367,774,401
368,774,401
369,774,401
370,774,401
371,774,401
372,774,401
373,774,401
374,774,401
375,774,401
376,774,401
377,774,401
378,774,401
379,774,401
380,774,401
381,774,401
382,774,401
383,774,401
384,774,401
385,774,401
386,774,401
387,774,401
388,774,401
389,774,401
390,774,401
391,774,401
392,774,401
393,774,401
394,774,401
395,774,401
396,774,401
397,774,401
398,774,401
399,774,401
400,774,401
401,774,401
402,774,401
403,774,401
404,774,401
405,774,401
406,774,401
407,774,401
408,774,401
409,774,401
410,774,401
411,774,401
412,774,401
413,774,401
414,774,401
415,774,401
416,774,401
417,774,401
418,774,401
419,774,401
420,774,401
421,774,401
422,774,401
423,774,401
424,774,401
425,774,401
426,774,401
427,774,401
428,774,401
429,774,401
430,774,401
431,774,401
432,774,401
433,774,401
434,774,401
435,774,401
436,774,401
437,774,401
438,774,401
439,774,401
440,774,401
441,774,401
442,774,401
443,774,401
444,774,401
445,774,401
446,774,401
447,774,401
448,774,401
449,774,401
450,774,401
451,774,401
452,774,401
453,774,401
454,774,401
455,774,401
456,774,401
457,774,401
458,774,401
459,774,401
460,774,401
461,774,401
462,774,401
463,774,401
464,774,401
465,774,401
466,774,401
467,774,401
468,774,401
469,774,401
470,774,401
471,774,401
472,774,401
473,774,401
474,774,401
475,774,401
476,774,401
477,774,401
478,774,401
479,774,401
480,774,401
481,774,401
482,774,401
483,774,401
484,774,401
485,774,401
486,774,401
487,774,401
488,774,401
489,774,401
490,774,401
491,774,401
492,774,401
493,774,401
494,774,401
495,774,401
496,774,401
497,774,401
498,774,401
499,774,401
500,774,401
501,774,401
502,774,401
503,774,401
504,774,401
505,774,401
506,774,401
507,774,401
508,774,401
509,774,401
510,774,401
511,774,401
512,774,401
513,774,401
514,774,401
515,774,401
516,774,401
517,774,401
518,774,401
519,774,401
520,774,401
521,774,401
522,774,401
523,774,401
524,774,401
525,774,401
526,774,401
527,774,401
528,774,401
529,774,401
530,774,401
531,774,401
532,774,401
533,774,401
534,774,401
535,774,401
536,774,401
537,774,401
538,774,401
539,774,401
540,774,401
541,774,401
542,774,401
543,774,401
544,774,401
545,774,401
546,774,401
547,774,401
548,774,401
549,774,401
550,774,401
551,774,401
552,774,401
553,774,401
554,774,401
555,774,401
556,774,401
557,774,401
558,774,401
559,774,401
560,774,401
561,971,466
562,930,449
563,858,410
564,823,383
565,803,367
566,803,367
567,781,344
568,777,339
569,776,337
570,776,336
571,774,335
572,773,333
573,771,331
574,767,324
575,767,324
576,763,316
577,762,311
578,761,301
579,760,291
580,758,274
581,755,262
582,753,255
583,753,252
584,752,251
585,752,250
586,752,250
587,752,250
588,752,250
589,752,250
590,752,249
591,753,248
592,757,245
593,758,244
594,759,244
595,759,244
596,759,243
597,759,243
598,759,243
599,759,243
600,760,241
601,760,241
602,760,239
603,760,237
604,760,235
605,760,232
606,759,229
607,759,229
608,758,227
609,757,226
610,757,226
611,757,226
612,757,226
613,757,226
614,757,226
615,757,226
616,757,226
617,757,226
618,757,226
619,757,226
620,757,226
621,757,226
622,757,226
623,757,226
624,757,226
625,757,226
626,757,226
627,757,226
628,757,226
629,757,226
630,757,226
631,757,226
632,757,226
633,757,226
634,757,226
635,757,226
636,757,226
637,757,226
638,757,226
639,757,226
640,757,226
641,757,226
642,757,226
643,757,226
644,757,226
645,757,226
646,757,226
647,757,226
648,757,226
649,757,226
650,757,226
651,757,226
652,757,226
653,757,226
654,757,226
655,757,226
656,757,226
657,757,226
658,757,226
659,757,226
660,757,226
661,757,226
662,757,226
663,757,226
664,757,226
665,757,226
666,757,226
667,757,226
668,757,226
669,757,226
670,757,226
671,757,226
672,757,226
673,757,226
674,757,226
675,757,226
676,757,226
677,757,226
678,757,226
679,757,226
680,757,226
681,757,226
682,757,226
683,757,226
684,757,226
685,757,226
686,757,226
687,757,226
688,757,226
689,757,226
690,757,226
691,757,226
692,757,226
693,757,226
694,757,226
695,757,226
696,757,226
697,757,226
698,757,226
699,757,226
700,757,226
701,757,226
702,757,226
703,757,226
704,757,226
705,757,226
706,757,226
707,757,226
708,757,226
709,757,226
710,757,226
711,757,226
712,757,226
713,757,226
714,757,226
715,757,226
716,757,226
717,757,226
718,757,226
719,757,226
720,757,226
721,757,226
722,757,226
723,757,226
724,757,226
725,757,226
726,757,226
727,757,226
728,757,226
729,757,226
730,757,226
731,757,226
732,757,226
733,757,226
734,757,226
735,757,226
736,757,226
737,757,226
738,757,226
739,757,226
740,757,226
741,757,226
742,757,226
743,757,226
744,757,226
745,757,226
746,757,226
747,757,226
748,757,226
749,757,226
750,757,226
751,758,227
752,758,227
753,779,243
754,811,269
755,811,269
756,854,305
757,866,316
758,866,316
759,882,329
760,882,329
761,897,336
762,907,339
763,917,340
764,925,340
765,932,340
766,943,336
767,947,334
768,951,330
769,952,328
770,954,324
771,955,320
772,956,315
773,956,306
774,956,298
775,956,288
776,956,278
777,956,275
778,956,275
779,956,271
780,956,267
781,953,254
782,953,254
783,951,244
784,951,242
785,951,241
786,951,240
787,950,239
788,950,235
789,949,233
790,949,233
791,949,232
792,949,232
793,949,232
794,948,232
795,948,232
796,948,232
797,948,232
798,948,232
799,948,232
800,948,232
801,948,232
802,948,232
803,948,232
804,948,232
805,948,232
806,948,232
807,948,232
808,948,232
809,948,232
810,948,232
811,948,232
812,948,232
813,948,232
814,948,232
815,948,232
816,948,232
817,949,232
818,949,232
819,949,232
820,969,246
821,975,252
822,986,265
823,986,265
824,989,287
825,989,295
826,983,307
827,962,330
828,962,330
829,949,340
830,936,350
831,924,360
832,922,362
833,922,362
834,922,362
835,922,362
836,922,362
837,922,362
838,922,362
839,922,362
840,922,362
841,922,362
842,922,362
843,922,362
844,922,362
845,922,362
846,922,362
847,922,362
848,922,362
849,922,362
850,922,362
851,922,362
852,922,362
853,922,362
854,922,362
855,922,362
856,922,362
857,922,362
858,922,362
859,922,362
860,923,361
861,944,341
862,968,317
863,1006,276
864,1054,223
865,1079,191
866,1112,155
867,1120,148
868,1122,146
869,1123,144
870,1123,143
871,1123,142
872,1123,141
873,1123,140
874,1123,140
875,1123,140
876,1123,140
877,1123,140
878,1123,140
879,1123,140
880,1121,148
881,1119,155
882,1117,159
883,1117,161
884,1117,161
885,1117,161
886,1117,161
887,1117,161
888,1117,161
889,1117,158
890,1117,155
891,1117,154
892,1117,153
893,1117,153
894,1117,152
895,1117,152
896,1117,152
897,1117,152
898,1117,152
899,1117,152
900,1117,152
901,1117,152
902,1117,152
903,1117,152
904,1117,152
905,1117,152
906,1117,152
907,1117,152
908,1117,152
909,1117,152
910,1117,152
911,1117,152
912,1117,152
913,1117,152
914,1117,152
915,1117,152
916,1117,152
917,1109,150
918,1090,144
919,1045,133
920,1024,128
921,1006,123
922,992,119
923,980,116
924,971,113
925,966,111
926,964,110
927,962,109
928,962,109
929,962,109
930,962,109
931,962,109
932,962,109
933,962,109
934,962,109
935,962,109
936,962,109
937,962,109
938,962,109
939,962,109
940,962,109
941,962,109
942,962,109
943,962,109
944,962,109
945,962,109
946,962,109
947,962,109
948,962,109
949,962,109
950,962,109
951,962,109
952,962,109
953,962,109
954,962,109
955,962,109
956,962,109
957,962,109
958,962,109
959,960,109
960,960,109
961,960,109
962,960,109
963,960,109
964,960,109
965,960,109
966,960,109
967,960,109
968,960,109
969,960,109
970,960,109
971,960,109
972,960,109
973,960,109
974,960,109
975,960,109
976,960,109
977,960,109
978,960,109
979,960,109
980,960,109
981,960,109
982,960,109
983,960,109
984,960,109
985,960,109
986,960,109
987,960,109
988,960,109
989,960,109
990,960,109
991,960,109
992,960,109
993,960,109
994,960,109
995,960,109
996,960,109
997,960,109
998,960,109
999,960,109
1000,960,109
1001,960,109
1002,960,110
1003,949,134
1004,920,205
1005,912,223
1006,900,252
1007,892,266
1008,885,281
1009,877,297
1010,869,315
1011,863,329
1012,860,340
1013,860,340
1014,859,344
1015,859,344
1016,859,344
1017,859,344
1018,859,344
1019,859,344
1020,859,344
1021,859,344
1022,859,344
1023,859,344
1024,859,344
1025,859,344
1026,859,344
1027,859,344
1028,859,344
1029,859,344
1030,859,344
1031,859,344
1032,859,344
1033,859,344
1034,859,344
1035,859,344
1036,859,344
1037,859,344
1038,859,344
1039,859,344
1040,859,344
1041,859,344
1042,859,344
1043,859,344
1044,859,344
1045,859,344
1046,859,344
1047,859,344
1048,857,344
1049,808,328
1050,769,311
1051,717,288
1052,678,269
1053,658,260
1054,642,252
1055,635,248
1056,631,246
1057,630,245
1058,630,245
1059,630,245
1060,630,245
1061,630,245
1062,630,245
1063,630,245
1064,630,245
1065,630,245
1066,630,245
1067,630,245
1068,630,245
1069,630,245
1070,630,245
1071,630,245
1072,630,245
1073,630,245
1074,630,245
1075,630,245
1076,630,245
1077,630,245
1078,630,245
1079,627,245
1080,612,240
1081,593,234
1082,567,224
1083,536,213
1084,507,199
1085,482,188
1086,469,183
1087,457,176
1088,441,166
1089,441,166
1090,437,161
1091,436,159
1092,435,157
1093,435,155
1094,435,154
1095,435,153
1096,435,152
1097,435,151
1098,435,150
1099,435,148
1100,435,146
1101,435,144
1102,435,140
1103,435,139
1104,435,138
1105,435,138
1106,435,137
1107,435,136
1108,435,134
1109,435,134
1110,435,133
