frame,x,y
0,820,616
1,820,616
2,820,616
3,820,616
4,819,616
5,819,616
6,819,616
7,819,616
8,819,616
9,819,616
10,819,616
11,819,616
12,819,616
13,819,616
14,819,616
15,819,616
16,819,616
17,819,616
18,819,616
19,819,616
20,819,616
21,819,616
22,819,616
23,819,616
24,819,616
25,819,616
26,819,616
27,819,616
28,819,616
29,819,616
30,819,616
31,819,616
32,819,616
33,819,616
34,819,616
35,819,616
36,819,616
37,819,616
38,819,616
39,819,616
40,819,616
41,819,616
42,819,616
43,819,616
44,819,616
45,819,616
46,819,616
47,819,616
48,819,616
49,819,616
50,819,616
51,819,616
52,819,615
53,819,615
54,819,615
55,819,615
56,819,615
57,819,615
58,819,615
59,819,615
60,819,615
61,819,615
62,819,615
63,819,615
64,819,615
65,819,615
66,819,615
67,819,615
68,819,615
69,819,615
70,819,615
71,819,615
72,819,615
73,819,615
74,819,615
75,819,615
76,819,615
77,819,615
78,819,615
79,819,615
80,819,615
81,819,615
82,819,615
83,819,615
84,819,615
85,819,615
86,819,615
87,819,615
88,819,615
89,820,615
90,837,615
91,894,627
92,919,633
93,940,638
94,949,641
95,952,642
96,954,643
97,955,644
98,955,646
99,956,648
100,957,648
101,957,648
102,957,649
103,952,644
104,935,631
105,925,624
106,913,613
107,898,597
108,884,570
109,870,539
110,864,524
111,857,506
112,856,503
113,855,502
114,855,501
115,855,501
116,855,501
117,855,501
118,855,501
119,855,501
120,855,501
121,855,501
122,855,501
123,855,501
124,855,501
125,855,501
126,855,501
127,855,501
128,855,501
129,855,501
130,855,501
131,855,501
132,855,501
133,855,501
134,855,501
135,855,501
136,855,501
137,855,501
138,855,501
139,873,513
140,903,535
141,959,575
142,1018,623
143,1055,653
144,1102,688
145,1120,700
146,1139,711
147,1151,717
148,1162,721
149,1165,721
150,1166,721
151,1168,721
152,1168,721
153,1169,719
154,1169,719
155,1169,718
156,1169,718
157,1169,718
158,1169,718
159,1169,717
160,1169,717
161,1169,714
162,1169,713
163,1168,712
164,1168,711
165,1167,711
166,1167,710
167,1166,709
168,1166,709
169,1166,708
170,1165,708
171,1165,708
172,1165,708
173,1165,708
174,1165,708
175,1165,708
176,1165,708
177,1165,708
178,1165,708
179,1165,708
180,1165,708
181,1165,708
182,1165,708
183,1165,708
184,1165,708
185,1165,708
186,1165,708
187,1165,708
188,1165,708
189,1165,708
190,1165,708
191,1165,708
192,1165,708
193,1165,708
194,1165,708
195,1165,708
196,1165,708
197,1165,708
198,1165,708
199,1165,708
200,1165,707
201,1164,703
202,1160,693
203,1157,673
204,1152,627
205,1145,573
206,1143,555
207,1141,548
208,1140,544
209,1140,543
210,1139,541
211,1138,541
212,1137,540
213,1135,538
214,1118,534
215,1103,530
216,1090,527
217,1077,524
218,1068,519
219,1059,509
220,1058,483
221,1066,445
222,1105,400
223,1195,349
224,1240,336
225,1263,328
226,1278,321
227,1283,317
228,1283,313
229,1280,311
230,1241,301
231,1125,277
232,680,192
233,436,142
234,365,125
235,293,107
236,240,91
237,240,91
238,240,91
239,239,91
240,239,91
241,239,91
242,239,91
243,239,91
244,239,91
245,239,91
246,239,91
247,239,91
248,239,91
249,240,91
250,363,129
251,464,152
252,494,155
253,533,160
254,558,160
255,560,149
256,551,124
257,513,94
258,420,48
259,268,4
260,268,4
261,268,4
262,235,0
263,179,0
264,179,0
265,179,0
266,179,0
267,179,0
268,184,0
269,201,2
270,218,11
271,228,16
272,239,19
273,245,20
274,250,20
275,250,20
276,251,20
277,251,20
278,251,21
279,248,21
280,234,21
281,111,25
282,23,32
283,0,35
284,0,35
285,0,35
286,0,35
287,0,35
288,2,38
289,9,39
290,23,41
291,31,41
292,42,41
293,72,38
294,124,31
295,194,26
296,244,24
297,302,24
298,335,24
299,375,23
300,384,23
301,388,23
302,393,23
303,397,23
304,401,23
305,411,20
306,418,19
307,428,17
308,439,15
309,439,15
310,444,15
311,447,15
312,452,15
313,458,16
314,464,16
315,469,16
316,472,16
317,483,16
318,488,16
319,493,16
320,496,17
321,497,18
322,498,18
323,498,18
324,498,18
325,498,18
326,498,18
327,498,19
328,498,19
329,498,19
330,498,19
331,498,19
332,498,19
333,498,19
334,498,19
335,498,19
336,498,19
337,498,19
338,498,19
339,498,19
340,498,19
341,498,19
342,498,19
343,498,19
344,498,19
345,498,19
346,497,19
347,489,21
348,484,23
349,477,24
350,473,25
351,470,25
352,470,25
353,470,26
354,470,39
355,487,64
356,506,85
357,539,112
358,546,116
359,549,118
360,553,119
361,556,121
362,558,122
363,559,123
364,559,124
365,559,124
366,560,124
367,560,124
368,560,124
369,559,122
370,556,116
371,549,99
372,548,91
373,547,86
374,546,83
375,546,82
376,546,82
377,546,82
378,546,81
379,546,81
380,546,81
381,546,80
382,546,79
383,547,78
384,548,77
385,550,75
386,551,74
387,552,73
388,561,72
389,561,72
390,582,72
391,591,74
392,599,76
393,609,77
394,615,77
395,625,77
396,633,77
397,641,77
398,644,77
399,645,77
400,645,77
401,645,77
402,645,77
403,645,77
404,645,77
405,645,77
406,645,77
407,645,77
408,645,77
409,645,77
410,645,77
411,645,77
412,645,77
413,645,77
414,645,77
415,645,77
416,645,77
417,645,77
418,645,77
419,645,77
420,645,77
421,645,77
422,645,77
423,645,77
424,645,77
425,645,77
426,645,77
427,645,77
428,645,77
429,645,77
430,645,77
431,645,77
432,645,77
433,645,77
434,645,77
435,645,77
436,645,77
437,645,77
438,645,77
439,645,77
440,645,77
441,645,77
442,645,77
443,645,77
444,645,77
445,645,77
446,645,77
447,645,77
448,645,77
449,645,77
450,645,77
451,645,77
452,645,77
453,645,77
454,645,77
455,645,77
456,646,78
457,649,82
458,655,90
459,661,103
460,669,126
461,672,133
462,673,136
463,673,137
464,673,138
465,671,145
466,663,162
467,655,190
468,639,364
469,639,497
470,645,614
471,656,711
472,663,798
473,663,854
474,655,890
475,648,905
476,639,920
477,631,931
478,631,931
479,630,937
480,630,939
481,630,939
482,630,939
483,628,939
484,618,939
485,603,939
486,571,951
487,557,963
488,546,977
489,541,989
